project_id,pipeline_id,pipeline_start,pipeline_finish,pipeline_duration,cicd_server_avg_watts_consumption,monitoring_pc_avg_watts_consumption
21,1681,1715367613,1715367984,371,49.64494462162163,15.022978135135137
21,1682,1715368639,1715369011,372,48.51466278378378,14.648142052631579
21,1683,1715369665,1715370040,375,49.14769283783784,14.56713602631579
21,1684,1715370691,1715371062,371,49.788416,14.593056513513517
21,1685,1715371717,1715372086,369,49.5416742972973,14.575977026315789
21,1686,1715372744,1715373117,373,50.176682594594595,14.457811815789473
21,1687,1715373770,1715374136,366,48.71944694444444,14.48833192105263
21,1688,1715374796,1715375173,377,49.1634994736842,14.811845578947366
21,1689,1715375822,1715376193,371,50.66205821621623,14.730702054054051
21,1690,1715376848,1715377218,370,50.02486410810811,14.57365265789474
21,1691,1715377874,1715378247,373,49.912007810810806,14.454208131578948
21,1692,1715378900,1715379271,371,48.4497048918919,14.553502868421054
21,1693,1715379926,1715380299,373,49.60354962162162,14.699031315789474
21,1694,1715380953,1715381323,370,50.01925166666667,14.956520432432432
21,1695,1715381979,1715382347,368,49.840202324324316,14.809450315789475
21,1696,1715383005,1715383378,373,49.87452235135135,14.652864815789473
21,1697,1715384031,1715384405,374,50.25269805405405,14.820916783783781
21,1698,1715385057,1715385428,371,49.39454,14.888802578947365
21,1699,1715386084,1715386452,368,49.537611,14.730569486486486
21,1700,1715387110,1715387481,371,49.598563131578935,14.89513263157895
21,1701,1715388136,1715388504,368,49.76958354054054,14.830141675675677
21,1702,1715389162,1715389535,373,50.06971435135136,14.680617135135135
21,1703,1715390189,1715390558,369,50.41554116216216,14.551527631578944
21,1704,1715391214,1715391588,374,49.16854202777777,14.530123184210527
21,1705,1715392241,1715392612,371,50.63955989189189,14.433580864864863
21,1706,1715393267,1715393634,367,50.60347841666667,14.367094405405409
21,1707,1715394293,1715394666,373,49.75709235135135,14.971502131578946
21,1708,1715395319,1715395686,367,49.9716978918919,14.331561157894736
21,1709,1715396345,1715396717,372,50.01881216216217,14.469771684210526
21,1710,1715397371,1715397753,382,49.24432207894736,14.932977894736842
21,1711,1715398397,1715398769,372,49.59461786111111,14.677458368421053
21,1712,1715399423,1715399801,378,49.09651713157894,14.522323763157894
21,1713,1715400450,1715400812,362,49.65056135135135,14.345915162162163
21,1714,1715401476,1715401849,373,50.21552156756757,14.414413157894737
21,1715,1715402502,1715402874,372,50.084769378378375,14.443145864864864
21,1716,1715403528,1715403904,376,49.186546,14.467904789473682
21,1717,1715404554,1715404925,371,50.79984132432432,14.311180945945944
21,1718,1715405581,1715405949,368,50.96920851428571,14.637565486486485
21,1719,1715406607,1715406974,367,49.87663986486486,14.449239351351352
21,1720,1715407633,1715408003,370,50.77272410810811,14.426193216216216
21,1721,1715408659,1715409028,369,50.12132844444444,14.54418257894737
21,1722,1715409685,1715410057,372,50.04453029729729,14.450091157894738
21,1723,1715410711,1715411086,375,49.782305305555546,14.491386578947367
21,1724,1715411737,1715412112,375,49.528436263157886,14.85342892105263
21,1725,1715412763,1715413136,373,49.363186459459456,15.219514710526315
21,1726,1715413790,1715414163,373,49.39627428947368,14.767723473684208
21,1727,1715414816,1715415189,373,49.67187505405405,14.839841578947366
21,1728,1715415842,1715416215,373,50.1914951388889,14.470336270270272
21,1729,1715416868,1715417250,382,49.419882605263176,14.683190846153844
21,1730,1715417894,1715418276,382,49.60826581081081,14.697176307692306
