project_id,pipeline_id,pipeline_start,pipeline_finish,pipeline_duration,cicd_server_avg_watts_consumption,monitoring_pc_avg_watts_consumption
21,1574,1715022013,1715022405,392,49.0550045128205,14.338250692307692
21,1575,1715023039,1715023425,386,48.650311435897436,14.549809666666667
21,1576,1715024065,1715024439,374,50.72106454054053,14.443501500000002
21,1577,1715025091,1715025466,375,49.38128210526317,14.40363892105263
21,1578,1715026117,1715026490,373,49.20394713888889,14.515967657894736
21,1579,1715027143,1715027514,371,50.21552348648649,14.421189945945944
21,1580,1715028169,1715028546,377,50.575318108108114,14.522016102564104
21,1581,1715029196,1715029576,380,49.738437078947356,14.537403615384614
21,1582,1715030222,1715030596,374,49.48228231578947,14.389403763157897
21,1583,1715031248,1715031622,374,50.42681291891891,14.358384105263157
21,1584,1715032274,1715032644,370,50.255444432432434,14.549824486486484
21,1585,1715033300,1715033673,373,49.03113816216216,14.321691157894737
21,1586,1715034326,1715034693,367,50.29459170270269,14.364627081081084
21,1587,1715035352,1715035721,369,50.80379097297297,14.410738432432433
21,1588,1715036378,1715036747,369,50.2713154054054,14.480699947368421
21,1589,1715037405,1715037779,374,50.412284486486485,14.291993526315789
21,1590,1715038431,1715038808,377,49.323580243243235,14.5259985
21,1591,1715039457,1715039833,376,49.75221594736842,14.36106605263158
21,1592,1715040483,1715040858,375,51.039177138888896,14.539191578947367
21,1593,1715041509,1715041887,378,50.09887542105263,14.52178858974359
21,1594,1715042536,1715042909,373,50.6651812972973,14.506609394736843
21,1595,1715043562,1715043945,383,48.79296153846153,14.555804763157896
21,1596,1715044588,1715044963,375,49.64031184210527,14.486638864864865
21,1597,1715045614,1715045983,369,48.92563061111112,14.490278027027028
21,1598,1715046640,1715047022,382,49.11220155263158,14.481771948717949
21,1599,1715047666,1715048043,377,49.53604194736842,14.418320289473684
21,1600,1715048692,1715049064,372,49.859225815789486,14.391520891891895
21,1601,1715049719,1715050093,374,49.80118802631579,14.301142736842106
21,1602,1715050745,1715051121,376,49.814418805555555,14.377128236842106
21,1603,1715051771,1715052147,376,49.48072663157895,14.2527395
21,1604,1715052797,1715053166,369,50.856909111111115,14.44804144736842
21,1605,1715053824,1715054196,372,50.178131108108104,14.348928710526312
21,1606,1715054850,1715055221,371,49.809231108108094,14.392790789473686
21,1607,1715055876,1715056243,367,50.41600521621623,14.786119324324323
21,1608,1715056902,1715057280,378,49.11324523684211,14.490817868421052
21,1609,1715057928,1715058301,373,49.118591083333335,14.735662789473686
21,1610,1715058954,1715059326,372,50.706549162162155,14.621866763157897
21,1611,1715059980,1715060358,378,49.074010315789465,14.649119358974358
21,1612,1715061007,1715061380,373,50.57409748648649,14.543975973684212
21,1614,1715062333,1715062713,380,50.45232543243243,14.688560921052629
21,1615,1715063359,1715063734,375,49.94273410526315,14.591993552631582
21,1616,1715064386,1715064768,382,49.593140657894736,14.69444330769231
21,1617,1715065413,1715065790,377,50.69067562162162,14.714757605263156
21,1618,1715066438,1715066809,371,49.65707456756757,14.434535736842108
21,1619,1715067465,1715067838,373,49.80694538888889,14.458191868421052
21,1620,1715068491,1715068867,376,50.22410944736843,14.589197631578948
21,1621,1715069517,1715069894,377,49.65768023684212,14.38921592105263
21,1622,1715070543,1715070919,376,50.75718756756756,14.227950315789474
21,1623,1715071569,1715071941,372,50.28693589189189,14.335684789473683
21,1624,1715072595,1715072972,377,49.68520483333334,14.413621315789474
